t,m,ell,a1,a2,a3,b1,b2,b3,emb_m,emb_ell,aa,bb,p_phys,p_mask,no_test,no_success,p_log,d,k,adv
10,6,30,25,1,0,1,6,17,6,30,1,2,0.005,0.1666666666666666,10001,9718,0.9717028297170284,18,8,0.5115288890234079
10,6,30,25,1,0,1,6,17,6,30,4,0,0.005,0.2333333333333333,10001,9452,0.9451054894510548,20,8,0.48146185979141054
10,6,30,25,1,0,1,6,17,6,30,5,1,0.005,0.2333333333333333,10001,9443,0.9442055794420556,18,8,0.4713248337343941
10,6,30,25,1,0,2,29,28,6,30,2,0,0.005,0.2,10001,9553,0.9552044795520448,20,8,0.47874385206913606
10,6,30,25,1,0,2,29,28,6,30,2,1,0.005,0.1666666666666666,10001,9689,0.9688031196880312,18,8,0.53283604727444
10,6,30,25,1,0,2,29,28,6,30,2,3,0.005,0.2,10001,9585,0.9584041595840416,18,8,0.5145476928215565
10,6,30,25,1,0,2,29,28,6,30,3,0,0.005,0.2,10001,9591,0.959004099590041,18,8,0.47938994717019107
10,6,30,25,1,0,2,29,28,6,30,3,1,0.005,0.1666666666666666,10001,9657,0.9656034396560343,18,8,0.5334438942753056
10,6,30,25,1,0,2,29,28,6,30,3,3,0.005,0.2,10001,9589,0.9588041195880412,18,8,0.5188177383587704
10,6,30,25,1,0,2,9,28,6,30,0,0,0.005,0.2,10001,9622,0.962103789621038,18,8,0.47938994717018973
10,6,30,25,1,0,2,9,28,6,30,0,1,0.005,0.1666666666666666,10001,9722,0.972102789721028,18,8,0.5334438942753046
